Date,Volume,Open,High,Low,Close
2022-06-29 05:25:00+00:00,2336,20289.4,20290.4,20192.6,20234.8
2022-06-29 05:30:00+00:00,2124,20235.1,20239.4,20170.0,20199.2
2022-06-29 05:35:00+00:00,3014,20199.0,20207.7,20161.4,20170.8
2022-06-29 05:40:00+00:00,2633,20170.8,20179.5,20147.8,20174.9
2022-06-29 05:45:00+00:00,3027,20175.2,20175.4,20070.5,20088.4
2022-06-29 05:50:00+00:00,3550,20088.8,20114.3,20040.7,20111.2
2022-06-29 05:55:00+00:00,3442,20111.2,20209.0,20088.6,20152.0
2022-06-29 06:00:00+00:00,2647,20152.0,20160.2,20131.4,20137.8
2022-06-29 06:05:00+00:00,3626,20137.2,20137.6,20023.9,20061.0
2022-06-29 06:10:00+00:00,2689,20061.4,20108.3,20055.4,20090.7
2022-06-29 06:15:00+00:00,2449,20090.7,20093.4,20044.5,20045.4
2022-06-29 06:20:00+00:00,3516,20045.6,20133.6,20009.6,20093.8
2022-06-29 06:25:00+00:00,2410,20093.9,20147.1,20091.4,20141.9
2022-06-29 06:30:00+00:00,2579,20141.6,20183.2,20129.8,20131.5
2022-06-29 06:35:00+00:00,2549,20131.6,20136.6,20082.0,20091.0
2022-06-29 06:40:00+00:00,2595,20091.1,20103.4,20062.8,20095.4
2022-06-29 06:45:00+00:00,2917,20095.4,20122.4,20051.7,20066.6
2022-06-29 06:50:00+00:00,4665,20067.1,20070.0,19898.9,19938.9
2022-06-29 06:55:00+00:00,4034,19938.7,19946.0,19883.6,19912.4
2022-06-29 07:00:00+00:00,4244,19912.4,19975.6,19877.8,19975.5
2022-06-29 07:05:00+00:00,3279,19975.5,19976.8,19905.6,19905.7
2022-06-29 07:10:00+00:00,2630,19905.5,19948.4,19904.4,19939.1
2022-06-29 07:15:00+00:00,3181,19939.2,20014.2,19934.6,19964.4
2022-06-29 07:20:00+00:00,2745,19965.0,20039.8,19963.9,20024.0
2022-06-29 07:25:00+00:00,2537,20023.4,20045.6,20005.0,20039.5
2022-06-29 07:30:00+00:00,2858,20039.1,20079.3,20007.3,20049.6
2022-06-29 07:35:00+00:00,2729,20050.3,20066.2,20026.8,20040.8
2022-06-29 07:40:00+00:00,2136,20041.0,20060.7,20027.6,20047.8
2022-06-29 07:45:00+00:00,2742,20047.9,20102.4,20034.2,20074.0
2022-06-29 07:50:00+00:00,2237,20074.0,20077.6,20048.4,20069.6
2022-06-29 07:55:00+00:00,2248,20069.4,20092.0,20057.8,20065.4
2022-06-29 08:00:00+00:00,2736,20064.8,20109.2,20042.5,20102.6
2022-06-29 08:05:00+00:00,2506,20102.2,20122.4,20073.1,20079.7
2022-06-29 08:10:00+00:00,1744,20080.0,20095.6,20075.2,20081.2
2022-06-29 08:15:00+00:00,1943,20081.3,20112.4,20075.4,20085.2
2022-06-29 08:20:00+00:00,1781,20085.2,20101.6,20077.4,20079.8
2022-06-29 08:25:00+00:00,2191,20079.4,20081.0,20020.6,20047.8
2022-06-29 08:30:00+00:00,1806,20048.4,20078.4,20042.7,20052.8
2022-06-29 08:35:00+00:00,2039,20052.5,20062.2,20013.4,20043.4
2022-06-29 08:40:00+00:00,2610,20043.4,20054.1,19982.6,20004.1
