GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
001000000101-001100101100-010001100000-100000000011-110010110110-110111011000-111011101101-111101111100-111110011001-111111110011-00010001,-0.68,15,33.33
000010010101-001001100001-001010010010-011011000010-100000011111-100111000110-101001111100-101011101000-101100010100-111101000101-01011000,-8.96,13,30.77
000000001001-000010101011-010001110011-010011001100-010110111010-011010100101-100101001011-100111101010-101101100101-110100011101-01000101,-0.36,28,53.57
001110101001-010110010100-100000010101-101000000111-101111100110-110100000010-110110101000-111000011101-111101001011-111111001010-11101111,9.14,12,75.0
001010100101-001111100001-010110101010-011100110100-100010100111-101001001111-101001010110-101001110100-111010100111-111010110010-01000000,-2.32,4,75.0
000110110101-000111100111-001101100111-100100011111-110101010000-110111000110-111000010110-111010010100-111110010000-111111110011-00001010,2.98,11,45.45
001000001001-001000111011-001001000100-011001100100-011010010011-011110010110-110001110010-110010111000-110111000110-111110110001-01001011,0.98,32,46.88
001000011010-010000011100-010001001101-011010000010-100000001010-100001111011-100110100100-110010010001-110101010110-110111001110-11000111,16.28,40,79.49
000111010010-001000010100-001001011111-001011100011-001101001110-011111011010-100111111111-101100100001-110011100010-111101010011-00011111,12.22,9,33.33
000010001001-001111010101-010001101110-011010011000-011111100010-100110000001-101101010001-101111001100-111000011010-111111001100-11000001,-10.98,60,81.67
010000110110-010111011011-010111110010-011110100101-100010100011-100100001010-101000000100-110010010100-110110100000-111110101111-00010111,3.26,23,21.74
000000111100-000010011001-010011100010-010100001010-011011000110-011011100100-101010001000-101011111101-101101110010-111111110001-10010000,-24.79,46,45.65
000011000101-000111001100-011011000011-011110011110-011111101010-100011001101-100011111000-100101001110-101100011111-110010011011-01001001,6.36,6,66.67
000010000000-000011011101-000110100000-001001000000-001010001000-011011101000-100111000101-101010011000-111101000100-111110101001-00110111,12.84,97,31.96
000001101100-000101010101-001000111011-010101001011-010111111110-100111010000-101111111010-110011111001-110101101100-111001100100-10110001,-3.76,5,40.0
001011010010-010010101100-010011000101-100100011011-100111001010-101110110101-110001111000-111001100110-111010000100-111010101100-11111101,6.68,14,57.14
010000101110-010100010000-010101110001-010110111110-011011101111-011100011000-011110001000-110110000000-111011100001-111011110111-01100010,-9.82,15,53.33
010011111010-010100001000-011011010010-011101011111-100011001010-101001011011-110100011010-111010111000-111011000011-111011000101-11010011,-5.47,18,55.56
000000000110-001001110001-001100010111-010001100011-100110011100-101100101000-110011000011-110100101100-111001001100-111011100111-10111100,-10.15,8,37.5
001111111001-010111111000-011110111010-100011011001-100111111000-101100000101-101111010100-111010101110-111101111101-111110011110-10000101,-4.0,12,58.33
001011111001-001101101010-010011011110-010100010110-010110110110-011100100100-100001010101-100010110110-100011001111-110001000001-01101110,-1.01,25,48.0
001000111100-010011001111-010011111110-011001111000-011111110111-100010101010-100011010101-101100010001-101101100101-111011110111-11010111,-3.88,28,57.14
000010101110-000111001111-001100001001-001110110000-010101111100-011000000011-011111011100-100110110010-101111010011-111000100000-01100111,-6.05,17,64.71
000011010100-001000101101-010011011100-010101111110-011111000101-100011000110-100101000001-100110100110-101000110011-110111001010-00000110,2.91,10,60.0
000010100111-000111001000-010111110111-100100011111-100101110110-101010000010-101100010011-101100111100-110000100001-110001110001-10010111,-16.18,21,38.1
000010001111-001000101110-001011111000-001111010101-011011110001-100000000111-101111101101-110110000101-110111100101-111101011011-00001000,-2.36,9,11.11
010101100110-011111110000-100100100000-100110011100-101011011000-110000110010-110000111101-110010100001-110011010100-111001110000-00001111,-2.14,28,35.71
000011111110-000100001010-001011101110-001011111110-010110010011-100111011101-101110011111-111000000011-111010000011-111100010100-00000000,-3.98,13,30.77
000011001011-001000000010-001100110000-010101100000-011000011011-100001110011-100010100001-101110100010-110100000000-111010010111-10001110,26.05,39,61.54
001000011010-010000111011-100101000011-100111100100-101011101100-101011110001-110010100100-110110101111-111000010111-111110110000-11101110,-27.76,16,43.75
000000001101-000110011010-000110110010-001001001111-001011111111-001101010001-011110010101-100111100111-101100000010-110000001001-01111110,-6.01,18,22.22
000001001100-000011011010-000111011101-001010010011-010100100001-010110001000-011010010000-011100011000-101110110100-111100000110-00100011,-0.94,15,66.67
000011011000-000111011110-001010111101-001011011011-001011100111-001011110101-011110011100-101101110110-101110101001-110111110010-01001010,6.62,64,54.69
000001100011-000001101111-001101010011-010000101110-100011100101-100111101100-101001011010-101100110100-110001100001-111111010111-01100101,7.27,4,100.0
000001101000-000111011000-001111010101-010101000101-010110101001-011100011110-101101101101-110011001101-111010100010-111111011101-10001010,19.52,60,65.0
000110001000-001001111001-010010100100-010011000000-011000001101-011011001101-100011111101-100101011110-110010000011-111101111101-11010000,22.04,50,66.0
000110101010-010010101100-010011010011-010011111010-010100101111-100110100001-101110110111-110011101110-111100011110-111100100110-01100110,-6.75,20,65.0
001000100110-001110001010-010100110010-011100001000-011100001100-100010001001-110000111011-111011001101-111011101010-111011110110-00111001,15.8,62,30.65
000010010001-000111011010-011101100011-101001111000-101111000010-110000110111-110010101000-110100000001-110101100001-110101111001-01100011,-3.33,35,77.14
000001110001-001000101011-001100010111-011101001110-100101000101-101000001001-101001001101-110010101110-110110110110-111011111001-00001111,8.88,49,32.65
000100011111-001001011001-001010011001-001110001111-100100000110-101000100011-101001011110-101111101111-110001100001-111010100000-11110000,13.26,24,62.5
000100010010-001000100010-001001111000-001001111001-010101110011-011100001100-011111101001-100011010001-100011110111-101001010101-01001001,-14.97,15,46.67
011010010010-011101011111-100001000111-101001100101-101110101101-110010011111-110100001101-111011000110-111011100110-111111101100-01000100,-3.84,4,25.0
000011000010-000100000000-000111100000-010111000010-011000011111-100001001000-101100000100-101100010000-101101011010-111110011101-11111100,64.08,64,62.5
000011011000-001001100001-010001101101-010110010100-011001101001-011010100101-011011101010-101000010100-101101000011-110011101100-01000111,-30.31,62,50.0
000001010000-000111101110-010010100101-010101100011-010111101110-011010001001-101100110100-101101101001-110010000111-110111101010-00000010,22.38,71,54.93
000010011000-000110111000-001010011111-001110111101-010010111100-011010111001-100111000010-101101011000-110111100110-111110010000-01010111,-14.16,66,34.85
000011110111-000101000000-000110100111-010000101100-011011010001-100100010101-110100100101-110101101000-110111111111-111010111111-10011101,0.03,8,37.5
000000010000-000111101110-001001010010-001100110011-010100110110-011100101110-100110110001-110011100000-111001011101-111011001000-00010101,18.16,67,23.88
000000101011-001000001011-001010000111-010100011001-010101010101-011011100100-011011110001-100101111110-110100100110-111000010010-00111000,-20.3,18,11.11
000001000101-000100000110-000101011100-001100110000-011011011011-100011100001-100100110101-101001111101-101101110011-110111101010-11110111,-1.03,2,50.0
000000101001-000010111100-000111010010-011101001011-100000000000-100100000011-110111000101-111010001010-111011101000-111110101101-00001111,-15.6,103,21.36
000011011000-000110100011-010010111111-010101110011-010110111010-011011010100-011111000111-101101110110-101110111110-111010010010-10001001,-2.68,59,62.71
001001010101-011001101000-011001110001-011011000010-011111110010-101000100010-110000000110-110001010011-111001000010-111011100011-00010011,-4.06,4,0.0
000011000110-001110000110-011011110100-011111001010-100111011110-101011001011-101111101100-111101101110-111110011000-111111011101-11000111,-7.13,9,66.67
000001010001-001001011000-001110001110-001111111010-010111010110-101001101110-101011110000-101110111001-111001100011-111110101100-01111001,-4.07,25,36.0
000011101100-010010100011-010101100011-010101101010-011000100011-100000000011-100110000000-101110101000-110101101011-111101100100-10000111,2.97,47,70.21
000100001011-001000111110-001010011101-011011011000-011110110011-100011101010-100111100100-110001101101-111001000111-111010100101-10000111,-16.45,5,0.0
000000100100-000111001001-011001011111-011001111101-011101001111-011101100000-110111110000-111000011101-111100101001-111111011010-01110011,-1.07,16,37.5
000001011111-010111011110-011001110010-011011101000-100000000101-100001111010-101000111110-101111101110-110011100100-111010001111-00110011,-15.13,9,22.22
010101000011-011000110001-011010011010-100011101110-100100110100-101001010101-101100011110-110100101011-111001100111-111111010111-00101110,-5.6,4,25.0
000110111000-011101011011-100111101100-101000011010-110100100011-111010111111-111011001100-111011110111-111111101010-111111111111-01101101,-25.3,61,37.7
001011101011-001101101000-010101000111-011000011011-011000111001-011001011110-100000001110-101101100110-101111100001-110000011111-10100001,-10.02,11,72.73
000000000011-000100000011-010010010001-010111011001-011000111110-011100001010-100000110011-101010101110-110101100111-111100111001-01010101,9.3,9,55.56
001000110110-010001111000-010101100010-010110100100-010110110000-011010111010-100010110101-101000111101-110100101110-111111111011-00111101,2.7,2,50.0
000001100000-000100010010-000111010110-001100111100-011100001001-100000000011-101001010111-101010101100-111000011110-111010001001-11010011,6.08,66,60.61
001101000001-010100000011-011111100111-100011101011-100111010010-100111101100-101111010011-110000001101-111001111111-111011100110-01001010,-7.26,3,33.33
000011111001-001010110010-010011001000-011001101101-011101101111-011110011010-100001011010-101010000100-101111110110-111111000010-00110111,-15.67,31,35.48
000010000001-000010111000-000101010100-001111001101-011010110000-011010110101-100011111001-101010101110-111010110100-111101101000-00111010,-1.86,41,26.83
000010111010-010100010001-010110010100-100010010101-100010111101-101010111011-110010100000-110111100010-111011011100-111110101010-00111110,18.78,23,39.13
000011111100-000100001011-001011101110-010111001001-011001001101-011111001100-100101000000-101010001100-110000101100-111101000111-10010101,-44.55,23,17.39
000000011101-000110100111-011111011101-100001010110-100001110101-100011100001-100111011111-101000101010-101001010010-110111010010-01001000,-0.14,14,50.0
001010111110-001011101101-001100111011-001101001001-001101111101-011100100011-100001100010-101111100011-110101110100-110111010111-00010111,-4.1,4,0.0
000011111110-000101011001-001011010100-011000001000-011000110110-011101000011-011111100100-110001001101-111000110110-111101010101-01101000,-10.23,4,25.0
000000111001-000001000001-001000011110-001010101011-010011110111-010101000001-100001011110-100100101011-110010100110-110111110011-00010100,3.63,30,23.33
000001011100-001001010001-001001111111-001100100100-001101100011-010111101111-011000000010-101100000001-101100111010-101110010111-11001001,18.98,17,81.25
001001110001-001001111001-001111111101-011000101100-011100100100-100110010110-101101110011-101111011111-110100100001-111001110111-10100110,25.35,15,93.33
000000010111-010100101101-011101001110-011111111111-100010110101-100111101100-100111110010-101111001000-110100001100-110100110010-10010100,-36.69,11,18.18
000001000011-000110110100-001000100011-001110101110-010000000101-010101110100-100000111111-101011100101-101101100111-101101110101-10001110,-3.49,5,40.0
001010011010-010010011101-100001100111-100011001001-100011100101-100100001100-101000000011-101000100000-101000110111-110000111100-10001011,4.01,25,56.0
000000011111-000100111001-011111011011-101000101100-101101011100-101111110000-110000011110-110001010000-110011111010-111010011010-10111001,11.92,10,50.0
000100010101-001000111101-010010000111-010100111010-011000111011-011111101101-100110111001-110000001111-111000010100-111110011011-11001001,16.3,7,100.0
000111100100-001101001011-001110101110-011010011000-011111010101-100010001010-101010101010-101111001110-110110110011-111011100011-10010011,15.83,27,59.26
000010111100-000111100010-001011100000-011100110001-101001011101-101111001101-110100011000-110101110100-111101110010-111111101011-11110000,-12.09,7,42.86
010100001001-010101101011-011001010000-100110000000-100111000111-101000100111-110011010111-110100100011-111001101001-111111000001-01000100,-2.54,46,52.17
000000000100-001101101101-011101011000-100000100111-100001001011-100010110001-100100111100-100111111011-110101001011-111010011111-11001011,-7.02,19,63.16
000010000000-000011100101-001110111011-010000010010-011001000101-011010001000-011111110011-110000010000-111010000000-111111100110-10000000,-33.03,70,74.29
000010000000-000110011101-010101010010-010101110011-011000101001-100100000010-101011110110-101110001001-111000000000-111001001010-10111011,-10.01,66,48.48
000001000111-001101110110-010101111111-010110100111-011000011101-011100010111-100000100111-100100010110-101010101001-111100011010-10101010,27.13,20,65.0
001001000100-001100000111-001100010111-010011111111-011100011100-011100110110-011101100000-101011001111-111110111001-111111111011-10001011,-3.3,8,50.0
001001001001-010010001011-010010111111-010011011001-010101111101-011111111100-101001011110-101010100111-111011111010-111100100010-11010001,21.29,22,72.73
000000000110-000001100100-001000111011-010100010000-011110000111-011111111000-110010111001-110011010111-111100001111-111111100110-10110101,-10.64,8,25.0
000001111110-001000010001-001111000101-001111100010-001111101000-011011011000-011110110001-011111101110-100100011101-101010010000-00100100,0.49,22,45.45
000001000010-000110111110-001011100101-001111100100-010011101000-010110001011-101111000010-101111010101-110011000111-110011100111-10011011,0.95,18,44.44
000000001001-000011110101-000100100111-001111001011-010010010000-011100010000-100000101101-101110101000-101111011010-110100100111-10101100,-5.1,40,55.0
000010110010-000101000000-010001101001-010101101001-010110100001-100100011100-100110101011-101001011011-101111010000-101111111100-00100010,-5.79,25,56.0
001110110101-010110001111-100011010001-100110111101-100111011101-101001011101-101101011000-110110110011-111010101101-111010110011-00011010,5.19,5,40.0
001110011100-001110100010-010000001101-011010010111-100000011011-100011101000-100100001100-100110001110-111010011011-111110001110-00110100,-17.44,19,15.79
000100101111-000111010100-001000111110-001100000000-010010110011-010110011110-011000100011-101010011101-101011000001-110110010001-00001000,7.0,23,39.13
000001100111-000110101110-011110001101-100110101110-100111000110-101000111101-101010011111-101010101010-110010010110-111001011101-01110001,-1.26,9,44.44
001011111000-001100000100-010111010011-010111100101-011001111000-011011000000-011101000000-100011001110-101101100000-111010001011-10001110,14.29,29,62.07
000111100000-001000010101-001001000110-010100011010-011000110110-011011010001-011110101110-011110110010-100010001001-110100110000-00001011,5.16,101,25.74
000000011010-001010100100-001100110100-010100001011-010100101101-011001001101-011101100111-011111100011-101011000011-101100001011-10101010,12.44,12,75.0
000011010000-000011100010-000100011110-000101000011-000110011111-011100010110-100011111011-110010101111-110110001100-111111110010-11010100,-24.28,58,50.0
000110110100-010100001101-010101011111-011010101000-011101010110-100010000100-100010110010-110000111001-110101110100-111111100000-11110000,2.82,9,55.56
000100111000-000111000001-001010011001-001101011110-001101101111-001101111100-100010011000-110100011000-110110110100-111010110000-01101101,-23.18,95,43.16
000100101101-000101100011-000111101000-001011111011-011010011010-011100001001-011100101100-011101011100-100001110001-101110111011-00000110,-15.16,13,38.46
000101101100-000111110000-001100110101-011100111000-011111100100-100010100111-100011010010-100110101111-101001110110-111100001111-00101100,11.34,11,54.55
000011010100-000110101010-001001111100-010000111001-010110101000-100100101111-101011010100-110100110100-111001011001-111111001011-10111111,-16.54,11,27.27
010110010111-011000000111-011011101100-011100001001-011100111100-011111110000-011111110111-100100011001-100101111000-111010001011-11001000,-57.62,55,49.09
000001011011-001111111110-010000000001-010010000100-011101011101-011101111001-011111011110-100011001010-100101101011-110000000100-11000010,28.66,18,88.89
000001010011-000010110110-000011001111-001001000101-001111111111-010100110111-011100100101-101111111010-110110110011-111100100011-00010010,-3.71,7,14.29
000100011001-001101100001-010101111010-011100100100-100101100101-100101110001-100111101101-101010111101-101100100111-110110001101-11001101,18.04,34,73.53
000101000001-000101111101-001011101000-001111000010-001111100011-010011010011-011110110101-100100100010-101100010101-110010101001-01111011,3.8,24,37.5
000011001001-001101110000-010001101001-010011011010-010100101000-011010010000-011010110000-101100000100-110110011000-110110111011-10011100,-1.57,28,39.29
001001101010-011100010011-011111011001-011111101011-100000000110-101011101110-110101111000-110110101100-111101010000-111110001000-10110001,1.01,19,52.63
000000001110-010101011110-011101001010-100000101100-100111011011-101111100001-110000010010-111001100001-111011110100-111100101100-10011110,-5.26,8,25.0
001010000100-001100000101-010011011010-010111001001-011110111110-011111010110-100000010111-100100011011-100101001101-101101101001-11101000,8.17,16,75.0
000010000100-001011000011-011001000011-100100110101-100110110000-100110110110-101111110011-110010111001-110111101000-110111111000-11110011,-13.02,10,40.0
000001010011-000010010011-000010010100-001010001000-001101101110-011111111111-100011111111-101011010000-101011100111-111111110001-11011010,19.6,44,56.82
000010011101-001010101101-001101010011-001111111011-100100010011-101001001000-110011101001-110011111001-110101010101-111101010100-11000010,1.13,14,71.43
001000101000-001011111100-001111000000-010000000000-010011011010-010111001000-100010001111-100011011001-101000101000-111011110110-11111111,17.14,53,52.83
000100101100-000101001010-001110110100-010001110101-010100110011-010101010011-011100000001-101000011001-110001100111-110100000001-00111011,5.49,18,33.33
001011111100-001111010110-011010111001-011111100100-100000010101-100011110001-100100000010-101101110011-110101010100-111111101000-00000100,2.37,21,23.81
000011000111-001000110010-001001010000-001111010011-011011000010-011101101101-100111101010-101010001110-110110010001-111110011111-10110111,-30.49,15,26.67
000001000111-000010110110-000101010000-000101010111-001000010010-010001101001-010110010010-011101101010-100001001100-111101101100-11111011,-23.34,14,35.71
000001101100-000100001011-010001100111-011100101000-100010010100-100100011110-100100100010-101001001001-101001001110-111000011011-00100000,-3.01,31,51.61
000011000101-010001010000-010001010111-010101011001-010110010000-101100010001-110010010100-110011000010-110011010010-111010001000-10010110,-9.15,17,35.29
001100010100-010010100100-010100010110-010111101110-011000001010-011000011100-011010110011-011100001100-100100010011-111100011100-10001001,-2.23,9,55.56
001010011011-001110011011-001111001111-010010101000-010011110000-011100100010-011110100100-011111010001-100100111110-110000111101-00000000,-4.96,15,33.33
000101110000-010100100101-100000010110-100100011110-100101100000-100111110111-101000011011-101100111111-110101101111-111001110010-10110100,33.69,55,61.82
000001100000-000001110110-000010100111-000111111011-010010101100-011011011010-011011100010-011111000010-101011010001-111110000001-00001011,-11.01,71,30.99
000000011011-000001011111-000010110010-001011100100-010001010000-010011001010-010110111000-011011010000-101011101001-110011100101-00111110,4.66,13,38.46
000101011001-000111111011-001000000000-001100111011-010011100001-011010000101-011010110111-100111111110-101111001100-110011110001-11100111,-23.18,54,64.81
000000001110-000100011010-000100101010-001100010001-001111001100-010001000101-010010001001-010111011110-011111001110-100001111000-00001011,-3.96,24,37.5
000001011001-000010100110-001001011101-001100101110-010010101000-101010010001-101100100010-110100001000-111000011011-111010111010-01101011,0.67,50,58.0
000011001100-001010100110-001110011101-010001011000-010001110000-010011111101-011000001100-011110011011-011110101001-110110100011-11011010,-4.8,8,42.86
000111010011-001001010001-001100001000-010000110111-011001001110-011001010101-101110001001-110101100101-110101110011-111101101010-00100100,-4.6,22,45.45
000100100100-000101110110-010110101110-100001110111-100011001000-110000101110-110001110010-110100110110-111010110111-111100011001-11101110,14.15,8,87.5
000010101000-000011100011-001110111110-011000001100-100001011110-110001101011-110010010011-110011011001-110111101001-111001110111-00010001,47.28,61,29.51
000111011000-001110000101-011001000100-011010000011-011010100011-100011001010-110011110100-110101011001-111000010001-111001010000-11000001,6.3,62,83.87
000000110110-001011010000-001110001000-010110001101-011011110110-100101011110-101001001100-101101101001-110001101001-111111101000-11010101,22.63,16,68.75
000010110010-000010111100-000110110010-011000100100-011011110101-100100001000-101001110100-110000010010-111000011011-111100100001-10100011,18.39,69,81.16
000100101011-000110010101-001000011011-001011010111-010001101101-011111111100-101010110010-101111101110-110000001110-111100000010-10010011,-16.05,15,33.33
001110111001-010010110111-010100010000-011000100111-101000011001-101000100111-101010001001-101101011011-110110001100-111111110010-11111011,-6.46,32,46.88
000000111110-000001010111-001010010010-001010101010-001111011000-010011011010-010101011101-011100110001-101101000100-110010110010-00111001,7.51,15,33.33
000001001111-001001001001-001011110111-010100001111-010101111010-100100101000-100111011101-101111101101-111101010100-111111110010-00000101,-10.32,28,42.86
001001001000-001010011000-001101100010-001110010010-010000010111-100001001001-100100100101-110010010111-111010110011-111100100110-01000011,-16.0,47,61.7
000000000100-000001001101-011001100011-011001100111-100010101011-100101101101-101100010010-110011101110-110101110101-110110111101-10000110,1.76,9,77.78
000011010110-010000000010-010010010011-100011000010-110000010101-110001010101-110100100010-111001110011-111001111110-111010011111-11100011,-5.25,8,62.5
001111010010-010000000001-010001010011-010010001011-011000001111-011010011100-100010111011-100111110001-101001001011-110111110000-01011101,39.34,15,66.67
000010101011-000101111011-000111110001-001001001010-001101001111-001111100100-010000110111-010001110000-010100100100-100000111001-11111111,-1.92,12,50.0
000001000110-000001100111-001000111001-100111100010-101000100101-110111000110-110111011010-111000100000-111000100001-111101000011-11001010,-12.13,8,37.5
000100111100-001101001011-001111000011-010111000111-011101001000-101001010110-101010000000-101101101110-110101001001-111100001011-10011100,-36.41,27,25.93
000111001001-001000100010-010111111010-011000101011-011101000110-011101110101-100000111110-110000011101-111000010001-111111011110-01100000,-14.99,35,60.0
000011100000-000011111010-000110101000-001100000110-011101001111-011101110001-011110101000-101001100001-110101011001-111100010001-11011000,-2.69,74,51.35
000010001011-001100111111-010011000111-010011110000-100000010010-100010111110-101001010101-110010110000-111000001100-111011111011-11001111,-9.94,21,52.38
000001110001-001100110100-011110110001-100101111010-101001100111-101101011101-110110000000-111001101010-111110000010-111111110111-10011101,-18.71,30,30.0
000100000001-001101010111-010110010000-011111011010-100010001011-101001110011-101110001110-110111100010-111011101001-111100101011-11000011,-46.78,32,59.38
000101100110-001001010111-001110000011-011001000001-100010000100-100101011111-100110000001-101110010001-101110111010-110001110010-10100110,-29.89,45,64.44
000100000000-000100011010-000110001111-010001111110-010010111001-010100111010-010111001111-010111111001-100010100111-111110110011-01100011,-0.56,72,72.22
000010100010-000111100100-001111010101-011111000010-100000000010-100111111000-101010100011-110101011111-111100100100-111111010001-00011010,-18.07,39,12.82
000100100100-001011011010-010000000010-010011111010-100000100001-101111011100-110000110100-110011010110-111011100110-111111010110-01100100,-10.02,13,53.85
000000110011-000100111111-000110100001-010000000100-010011110010-101111010100-101111110100-110000001111-110011110010-110101000110-10010101,-3.03,12,50.0
000010010110-000100011110-001110011000-010111110011-011001000110-101101110111-110011000011-110100100101-110111000010-111100101100-01000011,5.77,9,66.67
000000011100-000011001111-001111110010-011110001101-100011000000-100111101100-101100101111-110111110000-111011000111-111100110111-01101100,14.92,10,70.0
000100100101-010100001111-100111010000-110011101110-110111001001-110111101001-111011101010-111100000001-111100011011-111110000001-11101110,4.28,7,71.43
000000100001-000011100000-000110110101-001001110110-010101001110-010101100000-010101111010-101011100011-101011101110-111101010101-11111111,32.12,23,60.87
001000110000-001010111001-001101000101-001101010111-011100110100-011111110110-100001111101-100111010010-110000010101-110111010110-10000011,6.35,30,76.67
001100100100-001100110101-010000101111-010010011100-010110111011-111011000110-111011100011-111101000000-111110000111-111110001101-00101101,-6.98,5,40.0
000000001000-000010101010-000111010001-000111110100-001011011001-011100010010-100010100001-101100111111-101110101010-111111110000-10001101,7.17,80,55.0
001010100011-001011100100-010100100101-100111001011-101000000001-101010111100-110001100010-110110111101-111001010100-111011010001-10001100,4.02,18,55.56
000010110011-000011101001-000101110011-010100000111-100001111011-100111111001-110011100011-110100000001-111000110000-111001000010-01100110,15.83,11,81.82
000111101001-001000111111-001111100010-011000111111-100011010100-101000100010-101010010010-110010000000-110011100001-111110101010-10011000,-14.1,38,36.84
000000110011-000001010111-000001011010-010010011110-011001011010-011001111001-100111010010-110001110011-110100100111-110110001011-01101011,-27.63,7,14.29
001000110111-001100111011-001101100101-100000001110-101101000111-101101111001-101111110101-110101100000-110110001010-111001011001-01001001,10.29,9,77.78
001101101010-001111001000-010000011110-010111001010-100011110000-100101011100-101000011001-101010010010-101111011111-110001111001-00001111,-22.83,16,12.5
000111001110-001000110011-001011010110-001111011010-010001010101-010100111101-011001101100-101110101001-110001000101-111100010100-01101101,-4.33,5,40.0
000111100111-001011010001-010110111011-100001010101-101101011010-101101110010-110011000011-110011110110-110111111011-111110001111-11001111,-6.31,3,33.33
000000100110-000001011010-000101001011-000110111110-011011100100-011110101110-011111011110-100011101111-100110011111-110000111111-11000011,-9.96,5,80.0
000001000111-001001010101-010010010000-011111100001-100010110011-100101000110-101000010011-110110001101-110111101111-111001111010-00000101,-4.35,12,33.33
000100110111-000110110100-011011011111-011011110101-011100011111-100101100111-101111101110-110000011001-110011000111-110011111010-10111011,-5.51,8,37.5
001001010100-001100001000-001100011111-001110011100-010100011110-010101011101-100001110110-101100110010-110100000100-111000001101-00111111,-1.04,16,18.75
000010100110-000100001111-000100010110-001100100011-001111010000-010001010100-101100000101-101100100001-111001011110-111101001110-01100100,-8.27,11,54.55
000010111011-000111101100-000111110100-001000011011-001100011101-011000101100-100011110100-110000100111-110100101101-110111001100-11101001,19.04,12,91.67
000011110010-000111111101-001000011010-001101010010-010000110111-010000110111-010110001000-100110000110-101000111101-111111110110-10000110,4.63,29,72.41
000111011100-001010101001-010011101101-010101000110-011001001101-011111001100-011111111010-100000011011-100101101110-111111101110-00100000,-5.58,22,50.0
001001010111-001010001101-001101011010-010001100000-100000000101-100011111100-101000111101-101111011000-101111101011-111010010011-10111010,11.63,6,50.0
000000110111-001010000100-001101011001-010011110101-010111000011-011011111000-100101100110-101100011000-111001110101-111010010000-01000001,-0.07,20,55.0
000011011110-001001000100-001100110001-010110111110-010111110000-101100010010-110000011100-110000011111-110110110010-111101101101-01111111,5.98,9,44.44
000001010110-000001110110-000100010000-000101010110-001000110011-001010000111-010111111010-100011100110-100100101001-101111010000-01011110,18.96,37,32.43
010001101001-011011101111-011110100001-101000001000-101000101010-101111101100-110000001001-110000100110-111100011110-111110100000-01100001,-4.85,38,73.68
010000001000-010000010100-010101100010-100100010111-100100101011-100110001110-101010011000-110001010110-110010110111-110110100001-11011001,-13.38,20,40.0
001101011111-001110110101-010110100111-010111111010-011010001100-011101010000-100110101010-101111100100-110010001101-110100001000-10010110,7.04,12,41.67
000000100110-000011011000-000110000000-000110110101-001100100010-010011110000-100010000001-100110010010-101101001111-110010011100-11000111,-31.95,95,69.47
001001011111-011011110110-011101001100-011110000011-100000010010-100010000011-110001101110-111011100001-111110000001-111110001101-00000000,-6.27,16,56.25
000101011011-000111100101-001011000110-010011111000-011000101010-100110010101-100110101010-101011001111-110000001000-111001010010-01101001,21.65,15,86.67
000011011111-000101100010-000110111101-001001000100-001101101000-101000010110-110001010010-110011101101-110111000110-111100010010-00101011,3.1,8,50.0
001001101111-001110011000-010001110000-010010011010-011011001001-011101101010-100000110010-100001101111-110110100110-111010000001-01000101,13.82,10,80.0
000000110001-000110101101-000111011011-010000100100-010100101101-011101001100-011110010011-110010011101-111101001111-111111100000-10001110,10.87,25,48.0
000001100111-000101111100-010010011111-010101010000-011010111011-100111000101-100111011101-101011000011-111010100111-111111100001-01100010,-1.26,5,40.0
000111001100-001011001110-001011110010-001101101011-010010110011-011111001011-100000000111-101001011111-111000110001-111110011001-00101111,-12.83,12,25.0
001000010111-001001010001-100000000010-100011101000-100100000100-100101101100-101100101100-110011100100-110101010010-111001111110-11110011,3.08,33,60.61
000111010010-000111101001-010100011010-101101100111-101110011111-101111110010-110010011101-110100111110-111101100101-111111101111-01110110,4.82,13,53.85
000100101010-001100110110-001101011001-001111111010-100010010000-101010110100-110000100110-110100010101-110101011110-111001000001-11101110,-17.69,42,61.9
000111010010-000111100000-001010010000-010101000010-011010000100-011101110001-100111001101-101011110100-110101010110-111010111000-01011010,1.1,20,45.0
000001100000-000001111011-001000110010-001011111111-010011001111-011001000110-011001110100-100000110111-100010000110-111001000000-11111101,-22.12,56,44.64
001000001011-010001111111-010010110100-011000110001-011011010110-110010010011-110010011110-110010101110-110010111111-111000100110-10100111,6.73,6,100.0
001000110111-001110000111-010001010111-011100101000-100000010001-100000011100-101010100111-110001010000-110110100010-110110111001-00010010,-0.28,31,22.58
001001011011-001100010110-001101110000-010000001010-011010001011-101001000101-101101100010-110100010100-111000011100-111111000001-01111110,6.26,13,38.46
001100000110-011100011011-100001000000-100110001101-101001010000-101110111011-101111001001-110011100110-110111000110-111101001111-10101111,-13.46,14,50.0
000110010100-000111100001-001010001001-010110110111-011101100101-100110110011-100111110111-101011110010-110001000101-110111100111-11111100,-13.45,20,40.0
000100011100-001010111011-001100100111-001101010000-011010011010-011100000010-011111110110-100101110110-101111011101-110010111101-00000010,-1.24,12,50.0
000001111111-001100111001-001110110010-010000101101-010001001000-010001010011-011000110110-011111111100-100011111101-101010100100-11000100,1.88,8,75.0
000000011000-000100010110-001000001001-010101000010-011100110110-100011111100-101000100001-101010111001-101100000011-110100001100-01011000,-25.3,82,32.93
001001100011-001011100100-010110111111-011110010010-011110100001-101000100010-101100111110-101101100100-101110000001-111110101101-01000001,-5.2,12,50.0
