GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
001101101001-010001011000-010110010100-011010011000-101000101110-101001111101-101110111100-110011100110-111000000010-111100010010-00100000,-11.15,14,42.86
000011010101-000110001101-010111011001-011001000001-011010111100-101100011111-101101000101-101101010100-101101111001-111111001101-10101010,0.86,6,66.67
000011110010-000011110101-001011010100-001101111111-011001000011-100100000010-101100111100-101110110000-110001011111-110010101001-01110101,-9.36,36,38.89
000111010101-001111001001-010001111110-010011110100-011000001111-011000111010-011001110011-101000111011-101011010100-111011010010-11001110,4.62,6,66.67
000000000111-000100111001-000101010010-001100000000-010010100010-010100110101-100110010011-110111111110-111111101111-111111110000-01101110,-3.95,21,52.38
000100010100-010101010000-010111011100-011010001100-100100000010-101000011001-101100111000-101101101101-110001111000-110101001110-10110001,0.69,27,55.56
000010111001-000111000011-010101101110-010110101111-010111011001-100011101011-101010110110-110110000111-111000110011-111111010001-11110000,-21.24,26,50.0
010110101110-011001111100-011110001100-100101000101-110010001101-110110111100-110111001110-111001011011-111011001010-111110000100-00101010,-1.57,3,33.33
001000100100-010111011010-011100100110-011110000000-100110011011-100111001000-101010001000-110000101111-111000001000-111110010000-10010111,-42.32,47,36.17
000110000011-001010111010-001100111100-010100100011-011001001010-100101111110-110111101001-111001010001-111100110011-111110111100-10110100,3.32,3,66.67
010001000110-010010100011-010111000100-100000001100-100010011000-100011110111-101001101010-101010011011-110001100100-111001111000-00110010,1.42,49,30.61
000001000000-000001111010-000010100000-001100111010-010100100010-011010011110-100110001110-101010001010-110001101001-110111100011-10100111,-47.32,77,63.64
000000011001-001011111011-010011000100-010111001101-100000001001-100001001010-100101011000-101101101001-110110110111-111000111110-10111101,12.22,69,42.03
010000101110-011000101010-100110000110-101000010010-101000010110-110000101011-110111010001-111001000011-111010101001-111110101100-11011110,1.25,10,50.0
010100011000-011101011100-011110000110-011110001010-100000111110-100001011101-100001111101-100011001110-110111101100-111001110110-11010100,-20.77,8,25.0
000011000110-000110101111-001100110010-011000110000-011111011010-101010001011-101110011011-110101000101-111110000010-111110000100-00111010,20.04,16,43.75
000011001011-001001111000-010010110101-100001010111-101011011101-110000101111-110010110000-110110110101-111010000100-111100111000-00010111,2.29,13,23.08
000000101010-000000111111-001001101110-010110100111-011001101111-100100011110-101001011010-101010011100-110010011101-111000101100-01100111,-28.41,18,55.56
000110110111-001010000101-001011001010-001110111001-010101111001-100011011001-101011000110-110001110100-110101101110-111101100111-11101111,-34.07,9,22.22
001001011100-001111001011-011011001100-011110000111-100100000001-100100011010-110001001000-110010011101-111011101101-111100111000-00111010,-20.22,52,23.08
000100000111-000110110101-010011110000-100010010100-100110011010-100110100001-101001000010-101001001101-110010100000-110101110010-10110111,18.19,32,53.12
